Kurum,Katilimci_Sayisi
İzmir Yüksek Teknoloji Enstitüsü,12
İzmir Yüksek Teknoloji Enstitüsü ,9
İYTE,4
Izmir Ekonomi Universitesi,3
ADÜ,2
İzmir yüksek teknoloji enstitüsü ,2
KARADENİZ TEKNİK ÜNİVERSİTESİ ,2
İyte,2
Abdi İbrahim İlaç,1
Mühendislik,1
KARADENİZ TEKNİK ÜNİVERSİTESİ,1
McMaster Universitesi,1
adü,1
Acıbadem Labmed ,1
Trustlife,1
Yıldız Teknik,1
agü,1
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,1
TU Dresden,1
Hitit universitesi,1
Deva holding A.Ş,1
Harran e,1
SDU,1
Sağlık Bakanlığı,1
Tüseb,1
TÜSEB,1
İzmir Biyotıp ve Genom Merkezi,1
Mezun,1
bilgi universitesi,1
TÜSEB Türkiye Aşı Enstitüsü,1
İYTE ,1
Doğal Kimyevi Maddeler ve Zirai İlaçla,1
AFZ TEKSTİL ,1
Yildiz teknik universitesi,1
Akdeniz Su Ürünleri Araştırma Enstitüsü ,1
Ege universitesi,1
istün,1
İzmir Yüksek Teknoloji enstitüsü,1
istanbul medeniyet üni,1
Roche diagnostics,1
Nişantaşı Nuri Akın AL,1
İTÜ ( Mezun ),1
Trabzon Orman Bölge Müdürlüğü ,1
Orman Genel Müdürlüğü ,1
Gebze teknik ,1
Taylan Doğan Koleji ,1
Sasan Sağlık Medikal Ürünleri,1
Gelişim tıp laboratuvarları,1
Vaxpert Laboratuvar Medikal İlaç İthalat İhracat Sanayi Limited Şirketi ,1
4a Medical ,1
Imperial College London,1
Yeditepe üniveristesi,1
Manisa Celal Bayar ,1
Haliç Üniveristesi,1
Elektro-mag,1
Adana ÇUKUROVA ÜNİVERSİTESİ,1
Manisa merkez efendi devlet hastanesi ,1
Yüksel Tohum,1
Manisa Celal bayar ,1
Vexnor Teknoloji Anonim Şirketi,1
Bartın ,1
Istanbul Medeniyet Universitesi,1
İstanbul Üni,1
YTÜ,1
Gazi,1
Fırat universitesi,1
istanbul sabahattin zaim universitesi,1
IYTE,1
İstanbul üni,1
İTÜ,1
İzmir yüksek teknoloji enstitüsü ,1
Istinye universitesi,1
Istinye Universitesi,1
1,1
İstün,1
Gtu,1
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ ,1
Yeni yüzyıl,1
Biruni ,1
Kocaeli universitesi,1
Active Bioworks,1
İzmir yüksek teknoloji estitüsü,1
Kırklareli Universitesi,1
GEBZE TEKNİK ÜNİVERSİTESİ/ATLASCRO,1
Yok,1
İnönü ÜNİVERSİTESİ ,1
Marmara/ biyoloji ,1
İÜ,1
"KBÜ Tıp F., Biyokimya A.B.D.",1
"KBÜ Tıp F., Anatomi A.B.D.",1
Ege,1
S.B.Ü İzmir Tepecik eğitim ve araştırma hastanesi ,1
Florabio,1
ÇUKUROVA ÜNİVERSİTESİ,1
Ege Üni,1
istanbul bilgi universitesi,1
IZTECH/Bioengineering,1
Demiroglu bilim,1
Deniz Bilimleri Fakültesi/Akdeniz Su Ürünleri Araştırma Enstitüsü ,1
Ytü,1
Koçak Farma,1
BOÜN,1
Kafkas ünüversitesi ,1
Uskudar Universitesi,1
